Account Created,Account Package,Last Top Up,MSL Access,Community Access,Marketing Access,Studio Access,Events Access,TAR- Status Level,TAR - Lifetime Referred,MSL Access Type,Created Family Relationship,Created Business Relationship,Employee Joined,In Probation,MSL Access,MSL Access Type,Company Relationships,Job Type ,Contact US Message (by Campaign/Site Name),Unsubscribed,Viewed Page (by Campaign/Site Name),Clicked link on Page (by Campaign/Site Name),Interacted with Widget (Page/Site Name),Email (Campaign Name),SMS (Campaign Name),Research (Campaign Name),,,,,,,,,
Past 24 hours,PayGo/Top Only,Past 24 hours,Past 24 hours,Past 24 hours,Past 24 hours,Past 24 hours,Past 24 hours,Active,Jan-25,Master,Yes,Yes,Past 24 hours,Yes,Past 24 hours,Master,Company Name 1,,Yes,Yes,Page Name 1,Page Name 1,Widget Name 1,Received,Received,Received,,,,,,,,,
Past week,Small,Past week,Past week,Past week,Past week,Past week,Past week,Bronze,26-49,Super Admin,No,No,Past week,No,Past week,Super Admin,Company Name 2,,No,No,Page Name 2,Page Name 2,Widget Name 2,Opened,Opened,Started but not completed,,,,,,,,,
Past Month,Medium,Last Month,Past Month,Past Month,Past Month,Past Month,Past Month,Silver,50-149,Admin,,,Past Month,,Past Month,Admin,Company Name 3,,,,Page Name 3,Page Name 3,Widget Name 3,,,Completed ,,,,,,,,,
Month 2 to 1 Year,Large,Never,Never Accessed (after sign up),Never Accessed (after sign up),Never Accessed (after sign up),Never Accessed (after sign up),Never Accessed (after sign up),Gold,150-250,User ,,,31 days to 90 days,,Never Accessed (after sign up),User ,Company Name 4,,,,Page Name 4,Page Name 4,Widget Name 4,,,,,,,,,,,,
1 Year to 3 Years,,,,,,,,Platiunum,251-500,Read Only,,,91 days to 180 days,,Read Only,Read Only,Company Name 5,,,,,,Widget Name 5,,,,,,,,,,,,
More than 3 Years go,,,,,,,,,501-1500,,,,1 Year,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2 Years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,3 Years,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,4 Years,,,,,,,,,,,,,,,,,,,,,,
